Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
ConcurSearch,Chrome 65.0.3325.181,,2018-04-13 11:47:15,2018-04-13 11:48:30,1m - 15.191s,FAILED
,,,,,,
Test Cases/Concur_Seach_1,Chrome 65.0.3325.181,,2018-04-13 11:47:15,2018-04-13 11:48:13,57.619s,FAILED
openBrowser,Chrome 65.0.3325.181,,2018-04-13 11:47:16,2018-04-13 11:47:21,5.277s,PASSED
navigateToUrl,Chrome 65.0.3325.181,,2018-04-13 11:47:21,2018-04-13 11:47:24,3.144s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-13 11:47:24,2018-04-13 11:47:25,0.460s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-13 11:47:25,2018-04-13 11:47:25,0.249s,PASSED
click,Chrome 65.0.3325.181,,2018-04-13 11:47:25,2018-04-13 11:47:32,7.413s,PASSED
click,Chrome 65.0.3325.181,,2018-04-13 11:47:32,2018-04-13 11:47:33,0.586s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-13 11:47:33,2018-04-13 11:47:34,0.953s,PASSED
click,Chrome 65.0.3325.181,,2018-04-13 11:47:34,2018-04-13 11:47:35,1.175s,PASSED
click,Chrome 65.0.3325.181,,2018-04-13 11:47:35,2018-04-13 11:47:35,0.171s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-13 11:47:35,2018-04-13 11:47:36,0.990s,PASSED
click,Chrome 65.0.3325.181,,2018-04-13 11:47:36,2018-04-13 11:47:37,0.662s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-13 11:47:37,2018-04-13 11:47:38,0.774s,PASSED
selectOptionByValue,Chrome 65.0.3325.181,,2018-04-13 11:47:38,2018-04-13 11:47:38,0.593s,PASSED
doubleClick,Chrome 65.0.3325.181,,2018-04-13 11:47:38,2018-04-13 11:47:38,0.214s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-13 11:47:38,2018-04-13 11:47:39,0.639s,PASSED
selectOptionByValue,Chrome 65.0.3325.181,,2018-04-13 11:47:39,2018-04-13 11:47:40,0.536s,PASSED
click,Chrome 65.0.3325.181,,2018-04-13 11:47:40,2018-04-13 11:47:41,1.167s,PASSED
click,Chrome 65.0.3325.181,,2018-04-13 11:47:41,2018-04-13 11:48:13,32.186s,FAILED
,,,,,,
Test Cases/wikipedia_test_1,Chrome 65.0.3325.181,,2018-04-13 11:48:13,2018-04-13 11:48:30,17.042s,PASSED
openBrowser,Chrome 65.0.3325.181,,2018-04-13 11:48:13,2018-04-13 11:48:18,4.372s,PASSED
navigateToUrl,Chrome 65.0.3325.181,,2018-04-13 11:48:18,2018-04-13 11:48:19,1.708s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-13 11:48:19,2018-04-13 11:48:20,0.288s,PASSED
click,Chrome 65.0.3325.181,,2018-04-13 11:48:20,2018-04-13 11:48:24,4.163s,PASSED
click,Chrome 65.0.3325.181,,2018-04-13 11:48:24,2018-04-13 11:48:25,0.685s,PASSED
click,Chrome 65.0.3325.181,,2018-04-13 11:48:25,2018-04-13 11:48:26,1.521s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-13 11:48:26,2018-04-13 11:48:26,0.232s,PASSED
click,Chrome 65.0.3325.181,,2018-04-13 11:48:26,2018-04-13 11:48:28,1.916s,PASSED
click,Chrome 65.0.3325.181,,2018-04-13 11:48:28,2018-04-13 11:48:29,0.979s,PASSED
closeBrowser,Chrome 65.0.3325.181,,2018-04-13 11:48:29,2018-04-13 11:48:30,0.873s,PASSED
